tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
1969-3939,Caracas,Clay,8,A,19690303,7,100099,NA,NA,Thomaz Koch,L,NA,BRA,23.8110882957,100073,NA,NA,Mark Cox,L,NA,GBR,25.6618754278,8-6 6-3 2-6 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Brazil,United Kingdom,-14.235004,-51.92528,55.378051,-3.435973
1969-3940,Barranquilla,Clay,8,A,19690310,7,100119,NA,NA,Ilie Nastase,R,183,ROU,22.6420260096,100113,NA,NA,Jan Kodes,R,175,CZE,23.0253251198,6-4 6-4 8-10 2-6 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Romania,Czechia,45.943161,24.96676,NA,NA
1969-3942,Bristol,Grass,8,A,19690609,7,100016,NA,NA,Ken Rosewall,R,175,AUS,34.6009582478,100057,NA,NA,Pierre Barthes,R,NA,FRA,27.7371663244,8-10 6-3 6-1,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,France,-25.274398,133.775136,46.227638,2.213749
1969-3943,Boston,Carpet,8,A,19690709,7,100029,NA,NA,Rod Laver,L,173,AUS,30.9158110883,100087,NA,NA,John Newcombe,R,183,AUS,25.1279945243,7-5 6-2 4-6 6-1,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-3944,Bastad,Clay,8,A,19690707,7,100028,NA,NA,Manuel Santana,R,NA,ESP,31.1594798084,100035,NA,NA,Ion Tiriac,R,NA,ROU,30.1629021218,8-6 6-4 6-1,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Spain,Romania,40.463667,-3.74922,45.943161,24.96676
1969-401,Philadelphia WCT,Carpet,32,A,19690205,30,100029,1,NA,Rod Laver,L,173,AUS,30.4941820671,100100,3,NA,Tony Roche,L,178,AUS,23.7234770705,7-5 6-4 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-406,Brussels,Clay,32,A,19690512,300,100084,NA,NA,Tom Okker,R,178,NED,25.2183436003,100141,NA,NA,Zeljko Franulovic,R,NA,CRO,21.9137577002,6-4 1-6 6-2 6-2,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Netherlands,Croatia,52.132633,5.291266,45.1,15.2
1969-410,Monte Carlo,Clay,64,A,19690415,300,100084,2,NA,Tom Okker,R,178,NED,25.144421629,100087,5,NA,John Newcombe,R,183,AUS,24.8952772074,8-10 6-1 7-5 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Netherlands,Australia,52.132633,5.291266,-25.274398,133.775136
1969-413,Las Vegas,Hard,32,A,19691006,300,100005,NA,NA,Richard Pancho Gonzales,R,188,USA,41.4099931554,100074,NA,NA,Arthur Ashe,R,185,USA,26.2422997947,6-0 6-2 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1969-414,Hamburg,Clay,64,A,19690811,300,100100,NA,NA,Tony Roche,L,178,AUS,24.2354551677,100084,NA,NA,Tom Okker,R,178,NED,25.4674880219,6-1 5-7 7-5 8-6,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Netherlands,-25.274398,133.775136,52.132633,5.291266
1969-416,Rome,Clay,128,M,19690521,80,100087,2,NA,John Newcombe,R,183,AUS,24.9938398357,100100,1,NA,Tony Roche,L,178,AUS,24.0109514031,6-3 4-6 6-2 5-7 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-417,Boston,Grass,128,A,19690816,300,100126,NA,NA,Stan Smith,R,193,USA,22.6721423682,100144,NA,NA,Robert Lutz,R,180,USA,21.9657768652,9-7 6-3 6-1,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1969-418,Washington,Clay,64,A,19690707,300,100099,NA,NA,Thomaz Koch,L,NA,BRA,24.1560574949,100074,2,NA,Arthur Ashe,R,185,USA,25.993155373,7-5 9-7 4-6 2-6 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Brazil,United States,-14.235004,-51.92528,37.09024,-95.712891
1969-421,Montreal / Toronto,Clay,64,M,19690809,47,100128,2,NA,Cliff Richey,R,175,USA,22.6064339493,100048,3,NA,Earl Butch Buchholz,R,188,USA,28.8952772074,6-4 5-7 6-4 6-0,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1969-422,Cincinnati,Clay,96,M,19690714,300,100128,3,NA,Cliff Richey,R,175,USA,22.5352498289,100105,NA,NA,Allan Stone,R,NA,AUS,23.7481177276,6-1 6-2,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,United States,Australia,37.09024,-95.712891,-25.274398,133.775136
1969-423,Los Angeles,Hard,64,A,19690920,63,100005,10,NA,Richard Pancho Gonzales,R,188,USA,41.3661875428,100128,16,NA,Cliff Richey,R,175,USA,22.7214236824,6-0 7-5,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,United States,United States,37.09024,-95.712891,37.09024,-95.712891
1969-425,Barcelona,Clay,64,A,19691004,300,100174,7,NA,Manuel Orantes,L,178,ESP,20.6570841889,100028,2,NA,Manuel Santana,R,NA,ESP,31.4031485284,6-4 7-5 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Spain,Spain,40.463667,-3.74922,40.463667,-3.74922
1969-426,Johannesburg,Hard,128,A,19690404,300,100029,NA,NA,Rod Laver,L,173,AUS,30.6529774127,100084,NA,NA,Tom Okker,R,178,NED,25.1143052704,6-3 10-8 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Netherlands,-25.274398,133.775136,52.132633,5.291266
1969-429,Stockholm Open,Hard,32,A,19691101,31,100037,NA,NA,Nikola Pilic,L,NA,CRO,30.1820670773,100119,NA,NA,Ilie Nastase,R,183,ROU,23.2881587953,6-4 4-6 6-2,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Croatia,Romania,45.1,15.2,45.943161,24.96676
1969-430,Wembley,Carpet,32,A,19691117,300,100029,NA,NA,Rod Laver,L,173,AUS,31.2744695414,100100,NA,NA,Tony Roche,L,178,AUS,24.5037645448,6-4 6-1 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-520,Roland Garros,Clay,128,G,19690528,127,100029,1,NA,Rod Laver,L,173,AUS,30.8008213552,100016,3,NA,Ken Rosewall,R,175,AUS,34.5681040383,6-4 6-3 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-540,Wimbledon,Grass,128,G,19690623,127,100029,1,NA,Rod Laver,L,173,AUS,30.8720054757,100087,6,NA,John Newcombe,R,183,AUS,25.0841889117,6-4 5-7 6-4 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-560,US Open,Grass,128,G,19690827,300,100029,1,NA,Rod Laver,L,173,AUS,31.0499657769,100100,3,NA,Tony Roche,L,178,AUS,24.2792607803,7-9 6-1 6-2 6-2,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-580,Australian Open,Grass,64,G,19690120,47,100029,1,NA,Rod Laver,L,173,AUS,30.4503764545,100026,NA,NA,Andres Gimeno,R,185,ESP,31.4661190965,6-3 6-4 7-5,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Spain,-25.274398,133.775136,40.463667,-3.74922
1969-713,Hobart,Grass,32,A,19681230,300,100030,1,NA,Fred Stolle,R,190,AUS,30.2286105407,100100,2,NA,Tony Roche,L,178,AUS,23.6221765914,6-3 0-6 6-4 6-1,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1969-717,Indianapolis,Clay,64,A,19690721,300,100141,7,NA,Zeljko Franulovic,R,NA,CRO,22.1054072553,100074,2,NA,Arthur Ashe,R,185,USA,26.0314852841,8-6 6-3 6-4,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Croatia,United States,45.1,15.2,37.09024,-95.712891
1969-7302,Paris,Carpet,32,A,19691107,300,100084,3,NA,Tom Okker,R,178,NED,25.7084188912,100048,4,NA,Earl Butch Buchholz,R,188,USA,29.1416837782,8-6 6-2 6-1,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,Netherlands,United States,52.132633,5.291266,37.09024,-95.712891
1970-2029,Dublin,Grass,32,A,19700706,300,100100,NA,NA,Tony Roche,L,178,AUS,25.1362080767,100029,NA,NA,Rod Laver,L,173,AUS,31.9069130732,6-3 6-1,3,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,Australia,-25.274398,133.775136,-25.274398,133.775136
1970-2030,Merion,Grass,64,A,19700817,300,100114,NA,NA,Ray Ruffels,R,NA,AUS,24.4024640657,100115,NA,NA,Jaime Fillol,R,180,CHI,24.205338809,6-2 7-6 6-3,5,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970,Australia,Chile,-25.274398,133.775136,-35.675147,-71.542969
