tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2008-410,Monte Carlo Masters,Clay,56,M,2008-04-20,55,104745,2,NA,Rafael Nadal,L,185,ESP,21.8836413415,103819,1,NA,Roger Federer,R,185,SUI,26.7022587269,7-5 7-5,3,FALSE,103,1,2,63,51,32,5,12,1,5,5,0,75,47,28,8,12,1,7,2,5455,1,6425,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-414,Hamburg Masters,Clay,56,M,2008-05-11,55,104745,2,NA,Rafael Nadal,L,185,ESP,21.9411362081,103819,1,NA,Roger Federer,R,185,SUI,26.7597535934,7-5 6-7(3) 6-3,3,FALSE,172,3,3,101,77,51,8,17,3,7,7,0,118,72,48,16,16,11,17,2,5435,1,6825,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-520,Roland Garros,Clay,128,G,2008-05-25,127,104745,2,NA,Rafael Nadal,L,185,ESP,21.9794661191,103819,1,NA,Roger Federer,R,185,SUI,26.7980835044,6-1 6-3 6-0,5,FALSE,108,0,0,67,50,35,11,11,3,4,2,0,77,53,26,5,11,9,17,2,5585,1,6675,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2008-540,Wimbledon,Grass,128,G,2008-06-23,127,104745,2,NA,Rafael Nadal,L,185,ESP,22.0561259411,103819,1,NA,Roger Federer,R,185,SUI,26.8747433265,6-4 6-4 6-7(5) 6-7(8) 9-7,5,FALSE,288,6,3,218,160,111,34,30,12,13,25,2,195,127,92,39,30,9,13,2,5755,1,6900,2008,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2009-1536,Madrid Masters,Clay,56,M,2009-05-10,55,103819,2,NA,Roger Federer,R,185,SUI,27.7563312799,104745,1,NA,Rafael Nadal,L,185,ESP,22.9377138946,6-4 6-4,3,FALSE,86,6,3,67,42,29,17,10,4,4,1,1,54,43,32,5,10,0,2,2,10170,1,15360,2009,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2009-328,Basel,Hard,32,A,2009-11-02,31,104925,2,NA,Novak Djokovic,R,188,SRB,22.4503764545,103819,1,NA,Roger Federer,R,185,SUI,28.2354551677,6-4 4-6 6-2,3,FALSE,131,6,7,98,63,45,19,14,9,11,10,1,86,61,42,11,14,4,8,3,7890,1,10055,2009,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2009-410,Monte Carlo Masters,Clay,56,M,2009-04-12,55,104745,1,NA,Rafael Nadal,L,185,ESP,22.861054072600002,104925,3,NA,Novak Djokovic,R,188,SRB,21.8945927447,6-3 2-6 6-1,3,FALSE,163,2,1,87,57,35,14,12,6,11,4,3,87,54,30,11,12,7,14,1,14470,3,9010,2009,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2009-416,Rome Masters,Clay,56,M,2009-04-27,55,104745,1,NA,Rafael Nadal,L,185,ESP,22.8993839836,104925,3,NA,Novak Djokovic,R,188,SRB,21.9329226557,7-6(2) 6-2,3,FALSE,123,0,1,70,50,34,11,10,2,4,0,2,66,39,23,13,10,1,5,1,14890,3,9160,2009,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2009-422,Cincinnati Masters,Hard,56,M,2009-08-16,55,103819,1,NA,Roger Federer,R,185,SUI,28.0246406571,104925,4,NA,Novak Djokovic,R,188,SRB,22.2395619439,6-1 7-5,3,FALSE,127,7,0,60,33,28,15,10,3,4,3,1,81,55,33,9,9,11,15,1,11040,4,7150,2009,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2009-580,Australian Open,Hard,128,G,2009-01-19,127,104745,1,NA,Rafael Nadal,L,185,ESP,22.6310746064,103819,2,NA,Roger Federer,R,185,SUI,27.4496919918,7-5 3-6 7-6(3) 3-6 6-2,5,FALSE,259,4,4,175,112,74,30,24,13,19,11,6,172,89,65,38,26,9,16,1,13160,2,10700,2009,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2010-1536,Madrid Masters,Clay,56,M,2010-05-09,55,104745,2,NA,Rafael Nadal,L,185,ESP,23.9342915811,103819,1,NA,Roger Federer,R,185,SUI,28.7529089665,6-4 7-6(5),3,FALSE,131,2,2,81,59,32,14,11,8,11,9,0,88,59,35,14,11,7,11,3,6480,1,10430,2010,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2010-560,US Open,Hard,128,G,2010-08-30,127,104745,1,NA,Rafael Nadal,L,185,ESP,24.2409308693,104925,3,NA,Novak Djokovic,R,188,SRB,23.2744695414,6-4 5-7 6-4 6-2,5,FALSE,223,8,2,112,75,55,21,20,1,4,5,4,143,94,61,22,20,20,25,1,10745,3,6665,2010,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2010-328,Basel,Hard,32,A,2010-11-01,31,103819,1,NA,Roger Federer,R,185,SUI,29.2320328542,104925,2,NA,Novak Djokovic,R,188,SRB,23.446954141,6-4 3-6 6-1,3,FALSE,115,6,4,84,49,39,19,13,4,5,4,2,82,57,37,16,13,5,8,2,7495,3,7145,2010,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2010-605,Tour Finals,Hard,8,F,2010-11-21,5,103819,NA,NA,Roger Federer,R,185,SUI,29.2895277207,104745,NA,NA,Rafael Nadal,L,185,ESP,24.4709103354,6-3 3-6 6-1,3,FALSE,98,7,1,64,40,37,14,13,1,2,1,1,66,51,33,10,12,0,3,2,7645,1,11450,2010,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2011-495,Dubai,Hard,32,A,2011-02-21,31,104925,2,NA,Novak Djokovic,R,188,SRB,23.7535934292,103819,1,NA,Roger Federer,R,185,SUI,29.5386721424,6-3 6-3,3,FALSE,72,5,0,49,33,27,9,9,1,2,5,1,58,35,22,9,9,6,10,3,7880,2,7965,2011,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2011-404,Indian Wells Masters,Hard,96,M,2011-03-10,95,104925,3,NA,Novak Djokovic,R,188,SRB,23.7919233402,104745,1,NA,Rafael Nadal,L,185,ESP,24.758384668,4-6 6-3 6-2,3,FALSE,146,4,4,89,55,41,18,14,6,9,2,0,69,29,20,23,13,3,8,3,7800,1,12390,2011,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2011-403,Miami Masters,Hard,96,M,2011-03-23,95,104925,2,NA,Novak Djokovic,R,188,SRB,23.8302532512,104745,1,NA,Rafael Nadal,L,185,ESP,24.7967145791,4-6 6-3 7-6(4),3,FALSE,202,3,0,95,54,36,29,16,2,4,5,6,110,66,46,20,15,7,9,2,8710,1,12630,2011,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2011-1536,Madrid Masters,Clay,56,M,2011-05-01,55,104925,2,NA,Novak Djokovic,R,188,SRB,23.9452429843,104745,1,NA,Rafael Nadal,L,185,ESP,24.9117043121,7-5 6-4,3,FALSE,138,3,1,58,33,23,13,11,3,6,3,0,75,52,29,9,11,7,12,2,9710,1,11915,2011,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2011-416,Rome Masters,Clay,56,M,2011-05-08,55,104925,2,NA,Novak Djokovic,R,188,SRB,23.9644079398,104745,1,NA,Rafael Nadal,L,185,ESP,24.9308692676,6-4 6-4,3,FALSE,133,0,1,61,46,31,7,10,1,3,2,1,69,49,33,5,10,7,11,2,10665,1,12470,2011,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
