tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2007-410,Monte Carlo Masters,Clay,56,M,20070415,55,104745,2,NA,Rafael Nadal,L,185,ESP,20.8678986995,103819,1,NA,Roger Federer,R,185,SUI,25.6865160849,6-4 6-4,3,F,95,1,1,66,52,38,8,10,3,3,3,4,66,36,26,13,10,6,8,2,4875,1,7290,2007,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2007-414,Hamburg Masters,Clay,56,M,20070514,55,103819,1,NA,Roger Federer,R,185,SUI,25.7631759069,104745,2,NA,Rafael Nadal,L,185,ESP,20.9445585216,2-6 6-2 6-0,3,F,115,6,0,73,38,29,17,11,5,7,1,1,79,62,32,8,11,6,11,1,7015,2,4875,2007,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2007-416,Rome Masters,Clay,56,M,20070507,52,104745,2,NA,Rafael Nadal,L,185,ESP,20.9253935661,104925,5,NA,Novak Djokovic,R,188,SRB,19.9589322382,6-2 6-3,3,QF,101,2,2,46,34,28,5,8,1,1,1,1,67,48,27,6,9,8,12,2,4875,5,2720,2007,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2007-421,Canada Masters,Hard,56,M,20070805,54,104925,3,NA,Novak Djokovic,R,188,SRB,20.2080766598,104745,2,NA,Rafael Nadal,L,185,ESP,21.1745379877,7-5 6-3,3,SF,111,11,2,71,46,37,15,11,8,8,2,2,61,42,26,11,10,2,4,4,3200,2,5455,2007,Serbia,Spain,44.016521,21.005859,40.463667,-3.74922
2007-421,Canada Masters,Hard,56,M,20070805,55,104925,3,NA,Novak Djokovic,R,188,SRB,20.2080766598,103819,1,NA,Roger Federer,R,185,SUI,25.993155373,7-6(2) 2-6 7-6(2),3,F,133,6,3,96,63,44,19,16,4,9,15,1,102,69,53,14,16,3,6,4,3200,1,7290,2007,Serbia,Switzerland,44.016521,21.005859,46.818188,8.227512
2007-495,Dubai,Hard,32,A,20070226,25,103819,1,NA,Roger Federer,R,185,SUI,25.5523613963,104925,7,NA,Novak Djokovic,R,188,SRB,19.7672826831,6-3 6-7(6) 6-3,3,QF,123,8,1,100,62,46,22,16,3,5,6,4,98,63,42,17,14,3,7,1,8120,14,1665,2007,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2007-520,Roland Garros,Clay,128,G,20070528,126,104745,2,NA,Rafael Nadal,L,185,ESP,20.9828884326,104925,6,NA,Novak Djokovic,R,188,SRB,20.0164271047,7-5 6-4 6-2,5,SF,148,3,1,86,61,45,15,15,4,6,3,1,95,68,39,10,15,3,9,2,5225,6,2810,2007,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2007-520,Roland Garros,Clay,128,G,20070528,127,104745,2,NA,Rafael Nadal,L,185,ESP,20.9828884326,103819,1,NA,Roger Federer,R,185,SUI,25.8015058179,6-3 4-6 6-3 6-4,5,F,190,2,1,137,106,74,17,19,16,17,9,1,118,76,50,23,19,6,10,2,5225,1,7515,2007,Spain,Switzerland,40.463667,-3.74922,46.818188,8.227512
2007-540,Wimbledon,Grass,128,G,20070625,126,104745,2,NA,Rafael Nadal,L,185,ESP,21.0595482546,104925,4,NA,Novak Djokovic,R,188,SRB,20.0930869268,3-6 6-1 4-1 RET,5,SF,101,4,0,55,32,25,13,10,1,2,7,2,77,50,33,11,11,6,10,2,5225,5,3010,2007,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
2007-540,Wimbledon,Grass,128,G,20070625,127,103819,1,NA,Roger Federer,R,185,SUI,25.87816564,104745,2,NA,Rafael Nadal,L,185,ESP,21.0595482546,7-6(7) 4-6 7-6(3) 2-6 6-2,5,F,225,24,3,156,111,79,28,25,7,11,1,2,167,118,81,28,25,5,8,1,7290,2,5225,2007,Switzerland,Spain,46.818188,8.227512,40.463667,-3.74922
2007-560,US Open,Hard,128,G,20070827,127,103819,1,NA,Roger Federer,R,185,SUI,26.0506502396,104925,3,NA,Novak Djokovic,R,188,SRB,20.2655715264,7-6(4) 7-6(2) 6-4,5,F,144,11,4,106,66,52,25,17,7,9,5,7,116,64,45,29,17,2,5,1,7605,3,3670,2007,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2007-580,Australian Open,Hard,128,G,20070115,113,103819,1,NA,Roger Federer,R,185,SUI,25.4373716632,104925,14,NA,Novak Djokovic,R,188,SRB,19.65229295,6-2 7-5 6-3,5,R16,110,12,1,80,50,40,20,15,1,2,7,2,101,62,38,18,14,3,8,1,8120,15,1530,2007,Switzerland,Serbia,46.818188,8.227512,44.016521,21.005859
2007-605,Masters Cup,Hard,8,F,20071112,3,104745,NA,NA,Rafael Nadal,L,185,ESP,21.4428473648,104925,NA,NA,Novak Djokovic,R,188,SRB,20.476386037,6-4 6-4,3,RR,104,3,0,56,39,31,10,10,3,4,9,0,69,44,27,14,10,5,8,2,5535,3,4470,2007,Spain,Serbia,40.463667,-3.74922,44.016521,21.005859
