country_name,wins,runnerups,total_finals_games,finals_win_rate,total_wins,total_losses,total_games,win_rate,lat,long
Taiwan,0,0,0,0,342,489,831,41.15523465703971,21.924999237060547,120.83984375
Tajikistan,0,0,0,0,1,7,8,12.5,36.68403244018555,71.7337875366211
Togo,0,0,0,0,8,20,28,28.57142857142857,6.089404106140137,1.1872069835662842
Tunisia,0,0,0,0,105,200,305,34.42622950819672,30.22939682006836,9.518749237060547
Turkey,0,0,0,0,85,216,301,28.23920265780731,35.831443786621094,36.127342224121094
Tuscany,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Two Sicilies,0,0,0,0,113,155,268,42.16417910447761,NA,NA
United Arab Emirates,0,0,0,0,37,16,53,69.81132075471697,22.621484756469727,55.10429763793945
United Province CA,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Vatican City,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Venezuela,0,0,0,0,316,514,830,38.0722891566265,0.68798828125,-65.5560531616211
Vietnam,0,0,0,0,27,35,62,43.54838709677419,8.583251953125,104.89189147949219
Wuerttemburg,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Würtemberg,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Yemen Arab Republic,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Yemen People's Republic,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Yugoslavia,0,0,0,0,113,155,268,42.16417910447761,NA,NA
Zambia,0,0,0,0,7,13,20,35,-18.04150390625,26.779882431030273
Zanzibar,0,0,0,0,113,155,268,42.16417910447761,NA,NA
