tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,winner_country,loser_country,winner_lat,winner_long,loser_lat,loser_long
2000-433,Scottsdale,Hard,32,A,6/3/2000,31,103720,6,NA,Lleyton Hewitt,R,180,AUS,19.02806297,102450,5,NA,Tim Henman,R,185,GBR,25.49760438,6-4 7-6(2),3,FALSE,105,1,5,80,40,27,22,11,7,9,10,2,70,29,21,20,11,7,10,18,1280,11,1547,2000,Australia,United Kingdom,-25.274398,133.775136,55.378051,-3.435973
2000-438,Moscow,Carpet,32,A,23/10/2000,31,102338,2,NA,Yevgeny Kafelnikov,R,190,RUS,26.67761807,102184,NA,NA,David Prinosil,R,185,GER,27.62491444,6-2 7-5,3,FALSE,77,5,7,56,23,19,17,10,3,5,6,5,62,25,18,13,10,3,8,7,2651,56,685,2000,Russia,Germany,61.52401,105.318756,51.165691,10.451526
2000-439,Umag,Clay,32,A,17/7/2000,31,102701,2,NA,Marcelo Rios,L,175,CHI,24.55852156,103264,1,NA,Mariano Puerta,L,180,ARG,21.82614648,7-6(1) 4-6 6-3,3,FALSE,154,13,7,113,58,47,25,15,6,8,5,3,138,86,53,25,16,16,19,23,1118,21,1211,2000,Chile,Argentina,-35.675147,-71.542969,-38.416097,-63.616672
2000-403,Miami Masters,Hard,96,M,20/3/2000,95,101948,2,NA,Pete Sampras,R,185,USA,28.60506502,102856,6,NA,Gustavo Kuerten,R,190,BRA,23.52361396,6-1 6-7(2) 7-6(5) 7-6(8),5,FALSE,198,20,9,148,94,75,30,22,5,6,16,4,159,90,61,43,21,11,14,2,2932,6,2147,2000,United States,Brazil,37.09024,-95.712891,-14.235004,-51.92528
2000-573,Mallorca,Clay,32,A,1/5/2000,31,103498,4,NA,Marat Safin,R,193,RUS,20.26009582,102025,NA,NA,Mikael Tillstrom,R,185,SWE,28.15605749,6-4 6-3,3,FALSE,57,10,2,58,38,34,10,10,3,3,3,3,54,38,28,7,9,2,4,20,1216,69,568,2000,Russia,Sweden,61.52401,105.318756,60.128161,18.643501
2000-475,San Marino,Clay,32,A,24/7/2000,31,102231,NA,NA,Alex Calatrava,R,190,ESP,27.11019849,101843,NA,WC,Sergi Bruguera,R,188,ESP,29.51950719,7-6(7) 1-6 6-4,3,FALSE,144,7,4,102,54,38,27,15,4,7,5,2,105,52,35,35,14,4,5,115,356,169,223,2000,Spain,Spain,40.463667,-3.74922,40.463667,-3.74922
2000-773,Bucharest,Clay,32,A,11/9/2000,31,102607,NA,NA,Juan Balcells,R,190,ESP,25.229295,103082,NA,NA,Markus Hantschk,R,188,GER,22.81177276,6-4 3-6 7-6(1),3,FALSE,125,9,1,90,67,49,16,16,3,6,5,2,91,54,40,20,15,3,5,112,361,93,447,2000,Spain,Germany,40.463667,-3.74922,51.165691,10.451526
2000-375,Lyon,Carpet,32,A,6/11/2000,31,103096,NA,NA,Arnaud Clement,R,173,FRA,22.88843258,102158,8,NA,Patrick Rafter,R,185,AUS,27.85763176,7-6(2) 7-6(5),3,FALSE,113,3,1,95,60,42,18,12,5,7,10,3,83,58,41,12,12,3,5,25,1130,17,1350,2000,France,Australia,46.227638,2.213749,-25.274398,133.775136
2000-500,Halle,Grass,32,A,12/6/2000,31,102184,NA,WC,David Prinosil,R,185,GER,27.26078029,101990,NA,NA,Richard Krajicek,R,196,NED,28.5174538,6-3 6-2,3,FALSE,65,4,2,49,28,21,16,9,1,1,11,3,54,32,25,6,8,6,9,130,299,32,929,2000,Germany,Netherlands,51.165691,10.451526,52.132633,5.291266
2000-505,Santiago,Clay,32,A,28/2/2000,31,102856,1,NA,Gustavo Kuerten,R,190,BRA,23.4661191,103264,NA,NA,Mariano Puerta,L,180,ARG,21.44284736,7-6(3) 6-3,3,FALSE,98,18,1,85,47,38,18,11,9,10,3,2,76,50,33,11,10,5,7,6,2080,84,470,2000,Brazil,Argentina,-14.235004,-51.92528,-38.416097,-63.616672
