year,country_name,wins,runnerups,total_finals_games,finals_win_rate,total_wins,total_losses,total_games,win_rate,latitude,longitude
1969,Estonia,0,0,0,0,3,2,5,60,58.595272,25.013607
1969,Finland,0,0,0,0,1,3,4,25,61.92411,25.748151
1969,Germany,0,0,0,0,41,44,85,48.23529411764706,51.165691,10.451526
1969,Greece,0,0,0,0,4,9,13,30.76923076923077,39.074208,21.824312
1969,Hungary,0,0,0,0,9,11,20,45,47.162494,19.503304
1969,India,0,0,0,0,19,16,35,54.285714285714285,20.593684,78.96288
1969,Ireland,0,0,0,0,8,25,33,24.242424242424242,53.41291,-8.24389
1969,Israel,0,0,0,0,4,6,10,40,31.046051,34.851612
1969,Italy,0,0,0,0,29,57,86,33.72093023255814,41.87194,12.56738
1969,Jamaica,0,0,0,0,4,13,17,23.52941176470588,18.109581,-77.297508
1969,Japan,0,0,0,0,7,17,24,29.166666666666668,36.204824,138.252924
1969,Mexico,0,0,0,0,13,19,32,40.625,23.634501,-102.552784
1969,Monaco,0,0,0,0,2,6,8,25,43.750298,7.412841
1969,New Zealand,0,0,0,0,16,32,48,33.33333333333333,-40.900557,174.885971
1969,Philippines,0,0,0,0,2,4,6,33.33333333333333,12.879721,121.774017
1969,Poland,0,0,0,0,9,10,19,47.368421052631575,51.919438,19.145136
1969,Portugal,0,0,0,0,1,4,5,20,39.399872,-8.224454
1969,Russia,0,0,0,0,24,21,45,53.333333333333336,61.52401,105.318756
1969,Serbia,0,0,0,0,3,9,12,25,44.016521,21.005859
1969,South Korea,0,0,0,0,2,2,4,50,35.907757,127.766922
1969,Sweden,0,0,0,0,12,24,36,33.33333333333333,60.128161,18.643501
1969,Switzerland,0,0,0,0,1,12,13,7.6923076923076925,46.818188,8.227512
1969,United Arab Emirates,0,0,0,0,36,1,37,97.2972972972973,23.424076,53.847818
1969,United Kingdom,0,0,0,0,107,98,205,52.19512195121951,55.378051,-3.435973
1969,Vatican City,0,0,0,0,36,52,88,40.909090909090914,41.902916,12.453389
1969,Venezuela,0,0,0,0,5,7,12,41.66666666666667,6.42375,-66.58973
1969,Vietnam,0,0,0,0,2,2,4,50,14.058324,108.277199
1969,Zimbabwe,0,0,0,0,3,6,9,33.33333333333333,-19.015438,29.154857
1970,Argentina,0,0,0,0,7,24,31,22.58064516129032,-38.416097,-63.616672
1970,Austria,0,0,0,0,10,24,34,29.411764705882355,47.516231,14.550072
1970,Belgium,0,0,0,0,8,19,27,29.629629629629626,50.503887,4.469936
1970,Brazil,0,0,0,0,25,25,50,50,-14.235004,-51.92528
1970,Bulgaria,0,0,0,0,4,4,8,50,42.733883,25.48583
1970,Canada,0,0,0,0,13,15,28,46.42857142857143,56.130366,-106.346771
1970,Chile,0,0,0,0,50,50,100,50,-35.675147,-71.542969
1970,Colombia,0,0,0,0,4,10,14,28.57142857142857,4.570868,-74.297333
1970,Denmark,0,0,0,0,15,28,43,34.883720930232556,56.26392,9.501785
1970,Ecuador,0,0,0,0,9,22,31,29.03225806451613,-1.831239,-78.183406
1970,Egypt,0,0,0,0,22,30,52,42.30769230769231,26.820553,30.802498
1970,Finland,0,0,0,0,2,5,7,28.57142857142857,61.92411,25.748151
1970,France,0,0,0,0,102,132,234,43.58974358974359,46.227638,2.213749
1970,Greece,0,0,0,0,9,10,19,47.368421052631575,39.074208,21.824312
1970,Hungary,0,0,0,0,26,29,55,47.27272727272727,47.162494,19.503304
1970,India,0,0,0,0,25,33,58,43.103448275862064,20.593684,78.96288
1970,Indonesia,0,0,0,0,1,11,12,8.333333333333332,-0.789275,113.921327
1970,Iran,0,0,0,0,1,4,5,20,32.427908,53.688046
